Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
317,60,85,1308,FALSE,1.5,0,25/05/2026 14:24,FALSE,0,1,93,30.1,2739,,1.4,13,25/05/2026 15:10,FALSE,0,1,340DB72E,93,2,14,GF,60/85,1028,1028,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
0,0,0,0,0.23,0.22,0,0,0,1,0,26,FALSE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
10,2.3,0,1,0.27,0.22,0,0,99,1,0,25,TRUE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
20,4,0,1,0.31,0.22,0,0,99,1,0,24,TRUE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
30,6.8,0,1,0.37,0.22,0,0,99,1,0,24,TRUE,TRUE,0,0,0,0,199,1.44,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
40,10.3,0,1,0.45,0.22,0,0,99,1,0,24,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
50,14.4,0,1,0.53,0.22,0,0,99,1,0,22,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
60,17.4,0,2,0.6,0.22,0,0,52,1,0,22,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
70,22.8,0,3,0.71,0.22,0,0,26,1,0,20,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
80,26.5,0,3,0.8,0.22,0,0,17,1,0,20,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
90,26.4,0,3,0.8,0.22,0,0,17,1,0,20,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
100,26.7,0,3,0.8,0.22,0,0,17,1,0,20,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
110,26.3,0,3,0.79,0.22,0,0,17,1,0,19,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
120,25.9,0,3,0.79,0.22,0,0,17,1,0,19,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
130,26,0,3,0.79,0.22,0,0,18,1,0,19,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
140,25.8,0,3,0.78,0.22,0,0,17,1,0,19,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
150,25.8,0,3,0.78,0.22,0,0,18,1,0,19,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
160,25.8,0,3,0.78,0.22,0,0,17,1,0,19,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
170,25.2,0,3,0.77,0.22,0,0,18,1,0,18,FALSE,TRUE,0,0,0,0,200,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
